Port,TCP,UDP,SCTP,DCCP,Description,type
94,Assigned,Assigned,,,objcall (Tivoli Object Dispatcher)[3],well_known
95,Yes,Assigned,,,"SUPDUP, terminal-independent remote login[53]",well_known
96,Assigned,Assigned,,,dixie (DIXIE Protocol Specification)[3],well_known
97,Assigned,Assigned,,,swift-rvf (Swift Remote Virtual File Protocol)[3],well_known
98,Assigned,Assigned,,,tacnews (TAC News)[3],well_known
99,Assigned,Assigned,,,metagram (Metagram Relay)[3],well_known
101,Yes,Assigned,,,NIC host name[54],well_known
102,Yes,Assigned,,,ISO Transport Service Access Point (TSAP) Class 0 protocol;[55][56],well_known
104,Yes,Yes,,,Digital Imaging and Communications in Medicine (DICOM; also port 11112),well_known
105,Yes,Yes,,,CCSO Nameserver[57],well_known
106,Unofficial,No,,,"macOS Server, (macOS) password server[11]",well_known
107,Yes,Yes,,,Remote User Telnet Service (RTelnet)[58],well_known
108,Yes,Yes,,,IBM Systems Network Architecture (SNA) gateway access server,well_known
109,Yes,Assigned,,,"Post Office Protocol, version 2 (POP2)[59]",well_known
110,Yes,Assigned,,,"Post Office Protocol, version 3 (POP3)[11][60][61]",well_known
111,Yes,Yes,,,"Open Network Computing Remote Procedure Call (ONC RPC, sometimes referred to as Sun RPC)",well_known
113,Yes,No,,,"Ident, authentication service/identification protocol,[11][62] used by IRC servers to identify users",well_known
115,Yes,Assigned,,,Simple File Transfer Protocol[64],well_known
117,Yes,Yes,,,UUCP Mapping Project (path service)[citation needed],well_known
118,Yes,Yes,,,Structured Query Language (SQL) Services[jargon],well_known
119,Yes,Assigned,,,"Network News Transfer Protocol (NNTP),[11] retrieval of newsgroup messages[65][66]",well_known
123,Assigned,Yes,,,"Network Time Protocol (NTP), used for time synchronization[11]",well_known
126,Yes,Yes,,,"Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development",well_known
135,Yes,Yes,,,DCE endpoint resolution,well_known
137,Yes,Yes,,,"NetBIOS Name Service, used for name registration and resolution[68][69]",well_known
138,Assigned,Yes,,,NetBIOS Datagram Service[11][68][69],well_known
139,Yes,Assigned,,,NetBIOS Session Service[68][69],well_known
143,Yes,Assigned,,,"Internet Message Access Protocol (IMAP),[11] management of electronic mail messages on a server[70]",well_known
151,Assigned,Assigned,,,HEMS,well_known
152,Yes,Yes,,,Background File Transfer Program (BFTP)[71][importance?],well_known
153,Yes,Yes,,,"Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information[72]",well_known
156,Yes,Yes,,,Structured Query Language (SQL) Service[jargon],well_known
158,Yes,Yes,,,"Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)[73][importance?]",well_known
